id,name,price,original_price,discount,rating,review_count,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,product_type
274744115,KẸO ME CAY XÍ MUỘI TÂN LỘC PHÁT - BỊCH 80G,28000,28000,0,5,1,,,,,,,,,,kẹo me cay xí muội tân lộc
273821847,Thùng 24 Gói Mì Trộn Tương Đen Koreno Jjajangmen 115g,299000,330000,31000,4,3,,,,,,,,,,thùng gói mì trộn
272808459,Thùng 24 Gói Mì Cung Đình Kool Mì Gạo Lẩu Tôm Chua Cay Kiểu Thái 84g,255000,261000,6000,5,1,,,,,,,,,,thùng gói mì cung đình
272277059,Trà Rau Má Mã Đề Cỏ Mực Hộp 30 Túi Lọc Của Siêu Thị Thiên Nhiên,43000,43000,0,5,1,,,,,,,,,,trà rau má mã đề cỏ
207840608,Thùng Sữa Hạt Hạnh Nhân ALMOND BREEZE Không Đường 946ml x 12 Hộp,1551840,1551840,0,5,1,,,,,,,,,,thùng sữa hạt hạnh nhân
197106537,Thức ăn hạt Keos dành cho mèo mọi lứa tuổi vị hải sản gói 400g - 1.5kg,28900,28900,0,4.7,3,,,,,,,,,,thức ăn hạt keos dành
189074840,Kẹo bí xanh Tân Huê Viên thơm ngon ngọt thanh 200g,77000,77000,0,5,7,,,,,,,,,,kẹo bí xanh tân huê viên
164574364,MỨT ME THÁI CAY THÀNH LONG 500G,314000,314000,0,4.5,2,,,,,,,,,,mứt me thái cay thành
94262383,Sữa tắm Bio Derma (450ml) đặc trị ghẻ và nấm da trên chó,129000,129000,0,5,21,,,,,,,,,,sữa tắm bio derma
82230017,Bột Rau Má Sấy Lạnh Nguyên Chất 100% - Hủ 100gr,35000,35000,0,0,0,,,,,,,,,,bột rau má sấy lạnh
74911748,Sữa bột Wincofood Canxi Bone & Joints (800g/lon),379000,379000,0,4.7,327,,,,,,,,,,sữa bột wincofood canxi
73715828,Rượu Whitley Neill Handcrafted Blackberry Gin 43% (700ml) - Không hộp,1080000,1080000,0,0,0,,,,,,,,,,rượu whitley neill handcrafted
73559847,Trà Xanh Cầu Đất - Túi 110Gr,70000,70000,0,5,68,,,,,,,,,,trà xanh cầu đất
68770642,Đặc Sản Phan Thiết - Combo 2 Chai Nước Mắm Tĩn Ăn Dặm Cho Bé Độ Đạm 42N Làm Từ Cá Cơm Than Nguyên Chất (60Ml/Chai),50000,70000,20000,5,36,,,,,,,,,,đặc sản phan thiết combo chai nước mắm
63937517,Miến Mỹ Vị ( 1 thùng 60 gói),270000,270000,0,0,0,,,,,,,,,,miến
59177484,ĐẬU HÀ LAN MUỐI SẤY GIÒN THƯƠNG HIỆU SK FOOD - BỊCH 500G,80000,80000,0,4.8,24,,,,,,,,,,đâ
45812218,Bột diếp cá nguyên chất Goce - 72g (24 gói x 3g),170000,170000,0,4.5,185,,,,,,,,,,bột diếp cá nguyên chất
42769285,Trà Cỏ Ngọt Cho Người Tiểu Đường (Hộp 50 Túi Lọc X 2g)- Nguyên Thái Trang – Thảo Dược Thiên Nhiên – Tốt Cho Sức Khỏe,65000,65000,0,5,7,,,,,,,,,,trà cỏ ngọt người
22475236,Muối biển tinh khiết 500g,25000,25000,0,0,0,,,,,,,,,,muối biển tinh khiết
14934644,Gạo Nhật hữu cơ cao cấp/ECOBA Sakura 1kg - Nấu cháo cho bé ăn dặm - Hạt tròn,-100,130000,130000,0,5,,,,,,,,,,gạo nhật hữu cơ cao cấp ecoba
2923763,Gạo Thơm Lài Lotus Rice 5kg - Cơm mềm dẻo vừa - Chuẩn xuất khẩu,179000,179000,0,4.8,693,,,,,,,,,,gạo thơm lài lotus
