product_id,name,price,original_price,discount,rating,review_count, ,url,product_type
22052322,Sữa rửa mặt cho nam Oxy sạch sâu giảm nhờn dạng kem có hạt massage Oxy Deep Wash 100g,68000.0,86000.0,18000.0,4.8,252,,https://tiki.vnsua-rua-mat-cho-nam-oxy-sach-sau-giam-nhon-dang-kem-co-hat-massage-oxy-deep-wash-100g-p22052322.html?spid=22052324,sữa rửa mặt nam
22052317,Kem Rửa Mặt Tút Sáng Từ Đất Sét Trắng Oxy White Complete (100g),64000.0,82000.0,18000.0,4.7,170,,https://tiki.vnkem-rua-mat-tut-sang-tu-dat-set-trang-oxy-white-complete-100g-p22052317.html?spid=22052318,kem rửa mặt tút sáng
10640154,Sữa rửa mặt kiểm soát nhờn ngăn ngừa mụn dạng gel Acnes Oil Control Cleanser 100g,59000.0,75000.0,16000.0,4.7,317,,https://tiki.vnsua-rua-mat-kiem-soat-nhon-ngan-ngua-mun-dang-gel-acnes-oil-control-cleanser-100g-p10640154.html?spid=10862885,sữa rửa mặt kiểm soát
6874429,Miếng dán mụn giúp giảm mụn sưng viêm Acnes Clear Patch (24 Miếng),50500.0,64000.0,13500.0,4.7,324,,https://tiki.vnmieng-dan-mun-giup-giam-mun-sung-viem-acnes-clear-patch-24-mieng-p6874429.html?spid=10863062,miếng dán mụn giúp
2406967,Bọt rửa mặt dưỡng ẩm Hada Labo Gokujyun Moisturizing Foaming Wash 160ml,159000.0,204000.0,45000.0,4.7,292,,https://tiki.vnbot-rua-mat-duong-am-hada-labo-gokujyun-moisturizing-foaming-wash-160ml-p2406967.html?spid=10862157,bọt rửa mặt dưỡng ẩm hada
1634983,Phim Thấm Dầu Acnes Oil Remover Film 50 Tờ,55000.0,69000.0,14000.0,5.0,115,,https://tiki.vnphim-tham-dau-acnes-oil-remover-film-50-to-p1634983.html?spid=10862503,phim thấm dầu acnes
1634981,"Giấy thấm dầu kiểm soát nhờn, ngừa mụn Acnes Oil Remover Paper 100 tờ",26500.0,33000.0,6500.0,4.7,268,,https://tiki.vngiay-tham-dau-kiem-soat-nhon-ngua-mun-acnes-oil-remover-paper-100-to-p1634981.html?spid=10862722,giấy thấm dầu kiểm soát
1313897,Lotion dưỡng ẩm cao cấp - Siêu cấp ẩm cho da căng mượt Hada Labo Gokujyun Premium Hydrating Lotion (170ml),249000.0,320000.0,71000.0,4.7,385,,https://tiki.vnlotion-duong-am-cao-cap-sieu-cap-am-cho-da-cang-muot-hada-labo-gokujyun-premium-hydrating-lotion-170ml-p1313897.html?spid=10862732,lotion dưỡng ẩm cao cấp cấp
1313871,"Kem chống nắng Sunplay cực mạnh dạng sữa Sunplay Super Block SPF 81, PA++++ 30g",85000.0,108000.0,23000.0,5.0,285,,https://tiki.vnkem-chong-nang-sunplay-cuc-manh-dang-sua-sunplay-super-block-spf-81-pa-30g-p1313871.html?spid=10862283,kem chống nắng sunplay cực
631959,Kem mờ sẹo và thâm dạng gel Acnes Scar Care 12g,64000.0,82000.0,18000.0,4.7,391,,https://tiki.vnkem-mo-seo-va-tham-dang-gel-acnes-scar-care-12g-p631959.html?spid=10862535,kem mờ sẹo thâm dạng gel
